title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Cornet,-not sold-,"$200,000","$300,000",Signed Lower Left,"20.63"" x 27.50""",1992,Watercolor and pencil / Paper,57,Bonhams New York,11/22/2016
Game Warden,"$150,000","$100,000","$150,000",Signed Lower Right,"21.13"" x 29.63""",1952,Watercolor  and charcoal / Paper,82,"Christie's New York, Rockefeller Center",11/22/2016
MAIN GAFF,-not sold-,"$100,000","$150,000",Signed Lower Left,"21.00"" x 28.00""",1983,Watercolor / Paper,23,Sotheby's New York,11/21/2016
SHADE TREES,"$62,500","$60,000","$80,000",Signed Lower Left,"22.25"" x 30.75""",1961,Watercolor / Paper,115,Sotheby's New York,11/21/2016
Sketch of a cabin,"$2,460","$1,000","$2,000",Signed Lower Right,"1.63"" x 7.50""",not given,Pencil / Paper,254,Pook & Pook Inc.,11/19/2016
ORCHARD KNOLL,-not sold-,"$60,000","$80,000",unknown,"20.00"" x 28.00""",1956,Watercolor  with scractching out / Paper,16,Sotheby's New York,10/20/2016
Corn and Grist,"$195,000","$150,000","$250,000",Signed Lower Left,"21.50"" x 29.50""",not given,Watercolor / Paper,286,"Skinner Inc, Boston",09/23/2016
Pirates' Chest,not,"$60,000","$80,000",Signed Lower Right,"14.75"" x 22.88""",1938,Watercolor / Paper,3,Christie's Online,09/16/2016-09/22/2016
Stephen Taber,not,"$15,000","$25,000",Signed Initials,"14.50"" x 18.75""",1940,Pencil / Paper,8,Christie's Online,09/16/2016-09/22/2016
On the Glenmere Road,not,"$50,000","$70,000",Signed Lower Right,"17.88"" x 22.00""",1937,Watercolor and pencil / Paper on board,11,Christie's Online,09/16/2016-09/22/2016
Tamarack House,not,"$50,000","$70,000",Signed Lower Right,"17.88"" x 22.00""",1941,Watercolor  and charcoal / Paper,12,Christie's Online,09/16/2016-09/22/2016
After the Rain,not,"$80,000","$120,000",Signed Lower Left,"17.00"" x 29.75""",1939,Watercolor and pencil / Paper,18,Christie's Online,09/16/2016-09/22/2016
"""RIVER GREYS""","$66,950","$20,000","$40,000",Signed Lower Right,"14.25"" x 20.25""",not given,Watercolor / Paper,1015,"James D Julia, Inc.",08/24/2016-08/26/2016
"""BY THE LOWER DAM, 1967""","$79,990","$20,000","$40,000",Signed Lower Right,"14.00"" x 21.00""",not given,Watercolor / Paper,1016,"James D Julia, Inc.",08/24/2016-08/26/2016
A LANDSCAPE SCENE IN WINTER AND THREE CHRISTMAS CARDS,"$1,823","$3,000","$5,000",Signed,Dimensions not available,not given,Watercolor / Paper,1017,"James D Julia, Inc.",08/24/2016-08/26/2016
Loon Toller,"$82,500","$90,000","$120,000",Unavailable,"21.00"" x 30.00""",1949,Watercolor / Paper,175,"Guyette & Deeter, Inc",07/26/2016-07/27/2016
"Terns on Little Green Island, 1940","$63,000","$70,000","$80,000",Inscribed and Signed,"13.00"" x 19.50""",1940,Watercolor / Paper,39,"Copley Fine Art Auctions, LLC",07/24/2016
OLSON HOUSE WITH BASKET,-not sold-,"$30,000","$50,000",Signed Lower Left,"10.00"" x 12.76""",not given,Watercolor / Paper,81,Freeman's,06/05/2016
CHRISTMAS CARD WITH ELF,"$8,750","$5,000","$8,000",Signed,"5.00"" x 8.27""",not given,Pen and ink / Paper,82,Freeman's,06/05/2016
DORMER WINDOW,"$6,880","$2,500","$4,000",Signed,"8.39"" x 10.87""",not given,Pencil / Paper,83,Freeman's,06/05/2016
LOBSTER BUOY,"$185,000","$80,000","$120,000",Signed Lower Right,"17.88"" x 21.88""",1940,Watercolor and pencil / Paper on board,35,"Christie's New York, Rockefeller Center",05/19/2016
MAINE COAST INTERLUDE,-not sold-,"$150,000","$250,000",Signed Lower Right,"22.25"" x 30.00""",1940,Watercolor and pencil / Paper,36,"Christie's New York, Rockefeller Center",05/19/2016
"STUDY FOR ""ARMY SURPLUS""","$37,500","$20,000","$30,000",Signed Lower Right,"13.75"" x 16.75""",1967,Pencil / Paper,1,Sotheby's New York,05/18/2016
Grape Wine Study,-not sold-,"$50,000","$70,000",Inscribed and Signed,"14.00"" x 12.00""",1966,Pencil / Paper,18,Bonhams New York,05/18/2016
Loden Coat Study,-not sold-,"$200,000","$300,000",Signed Lower Right,"29.00"" x 21.38""",1975,Watercolor and pencil / Paper,19,Bonhams New York,05/18/2016
Guarded,-not sold-,"$300,000","$500,000",Signed,"20.00"" x 14.00""",2001,Drybrush  and pencil / Paper,20,Bonhams New York,05/18/2016
Breakup,-not sold-,"$1,500,000","$1,700,000",Signed Lower Right,"20.00"" x 28.00""",1994,Tempera / Panel,21,Bonhams New York,05/18/2016
Only Child,"$305,000","$300,000","$500,000",Signed Lower Left,"22.00"" x 30.00""",1999,Watercolor / Paper,22,Bonhams New York,05/18/2016
Nude: A Double-Sided Work,-not sold-,"$50,000","$70,000",Signed Lower Left,"13.88"" x 17.13""",1972,Pencil / Paper,23,Bonhams New York,05/18/2016
Untitled,"$137,000","$120,000","$180,000",Signed Lower Right,"14.00"" x 20.00""",1972,Watercolor and pencil / Paper,24,Bonhams New York,05/18/2016
Declaration of Independence,-not sold-,"$250,000","$350,000",Signed Lower Left,"40.00"" x 30.25""",2002,Oil / Canvas,25,Bonhams New York,05/18/2016
THE PRUSSIAN  with a watercolor study for In the Orchard on the reverse,-not sold-,"$2,500,000","$3,500,000",Signed Lower Left,"29.50"" x 21.75""",1974,Drybrush / Paper,26,Sotheby's New York,05/18/2016
"Cushman House, The","$25,480","$9,100","$13,650",Signed Lower Right,"14.96"" x 21.18""",1941,Watercolor / Paper on board,298,Mainichi Auction Inc.,04/09/2016
"""Fishnets, Nova Scotia""","$63,250","$25,000","$50,000",Signed Lower Left,"15.00"" x 20.00""",not given,Watercolor / Paper,309,Cottone Auctions and Appraisals,03/19/2016
"Marshall Point Light, Port Clyde, Maine","$13,750","$5,000","$7,000",Signed Initials,"6.00"" x 9.00""",1930,Ink / Paper,43,Christie's Online,03/14/2016-03/23/2016
Bait House,"$9,380","$4,000","$6,000",Signed Initials,"6.00"" x 9.00""",1930,Ink / Paper,44,Christie's Online,03/14/2016-03/23/2016
Birchwood,"$25,000","$20,000","$30,000",unknown,"14.00"" x 20.00""",1948,Watercolor / Paper on board,46,Christie's Online,03/14/2016-03/23/2016
Pine Needles,"$62,500","$25,000","$35,000",Signed Lower Left,"22.00"" x 30.00""",1948,Watercolor / Paper,47,Christie's Online,03/14/2016-03/23/2016
Pot Buoys,"$90,000","$70,000","$80,000",Signed,"8.50"" x 15.00""",1954,Watercolor / Paper,111,"Copley Fine Art Auctions, LLC",02/12/2016
Cow,"$1,400",$800,"$1,200",Signed Lower Right,"4.50"" x 7.00""",not given,Pencil / Paper,6002,Kaminski Auctions,01/17/2016
"""WINTER CORN FIELDS""","$1,145,000","$600,000","$800,000",Signed Lower Right,"32.01"" x 40.00""",1942,Tempera / Board,81,Freeman's,12/06/2015
"""YOUNG BUCK""","$125,000","$30,000","$50,000",Signed Lower Right,"29.02"" x 22.99""",1945,Watercolor / Paper on board,82,Freeman's,12/06/2015
"""GRAY BARN""","$65,000","$30,000","$50,000",Signed Lower Left,"20.98"" x 27.01""",not given,Watercolor / Paper,83,Freeman's,12/06/2015
"""CHRISTMAS CARD - GROVER (HIS MARK)""","$19,500","$10,000","$15,000",Inscribed,"7.76"" x 5.51""",not given,Watercolor and pencil / Paper,84,Freeman's,12/06/2015
The Inlet,"$118,750","$60,000","$80,000",Signed Lower Left,"14.00"" x 20.00""",1950,Watercolor and pencil / Paper,121,"Christie's New York, Rockefeller Center",11/19/2015
FLOOD PLAIN,"$5,178,000","$2,000,000","$3,000,000",Signed Lower Right,"24.50"" x 48.00""",1986,Tempera / Panel,40,Sotheby's New York,11/18/2015
STUDY FOR FLOOD PLAIN,"$62,500","$20,000","$30,000",Signed Lower Right,"18.00"" x 24.00""",1986,Pencil / Paper,41,Sotheby's New York,11/18/2015
ICE POOL,"$298,000","$150,000","$250,000",Signed Lower Left,"22.00"" x 30.25""",1969,Watercolor / Paper,42,Sotheby's New York,11/18/2015
The Mill Study,"$21,250","$5,000","$7,000",Signed Lower Right,"4.63"" x 9.00""",1959,Watercolor / Paper,68093,Heritage Auctions,11/16/2015
"""The Mall, Thomaston, 1942""",-not sold-,"$80,000","$90,000",Signed Lower Right,"17.50"" x 21.25""",not given,Tempera  and Watercolor / Paper,800,Thomaston Place Auction Galleries,11/14/2015-11/15/2015
"Fox, 1957","$10,630","$3,000","$5,000",Signed and Dated,"8.63"" x 11.63""",1957,Pencil / Paper,100,Rago Arts and Auction Center,11/05/2015
Maine Door,"$175,000","$40,000","$60,000",Signed Lower Left,"29.00"" x 21.00""",1970,Watercolor / Paper,57,Dallas Auction Gallery,11/04/2015
Concord River near Needham Massachusetts,-not sold-,"$30,000","$50,000",Signed Lower Right,"22.00"" x 30.00""",not given,Watercolor / Paper,42,Pook & Pook Inc.,10/03/2015
Dollhouse Window,"$3,198","$5,000","$10,000",Signed and Dated,"9.50"" x 9.00""",1929,Watercolor and pencil / Paper,43,Pook & Pook Inc.,10/03/2015
Dollhouse Window,"$4,920","$8,000","$12,000",Signed and Dated,"17.50"" x 11.00""",1929,Watercolor and pencil / Paper,44,Pook & Pook Inc.,10/03/2015
Dollhouse Window,"$5,040","$8,000","$12,000",Signed and Dated,"16.00"" x 12.00""",1929,Watercolor and pencil / Paper,45,Pook & Pook Inc.,10/03/2015
Dollhouse Window,"$4,800","$8,000","$12,000",Signed and Dated,"18.50"" x 11.00""",1929,Watercolor and pencil / Paper,46,Pook & Pook Inc.,10/03/2015
WALDBORO WOODS,"$47,500","$30,000","$40,000",Signed,"21.50"" x 29.50""",1947,Watercolor and gouache / Paper,126,Sotheby's New York,10/02/2015
Helga,"$25,000","$25,000","$35,000",Signed Lower Right,"14.00"" x 17.00""",1971,Pencil / Paper,77,"Christie's New York, Rockefeller Center",09/22/2015
"""Bert's Cabin""","$120,000","$40,000","$60,000",Signed Lower Left,"15.00"" x 19.00""",not given,Watercolor and ink / Paper,800,Thomaston Place Auction Galleries,08/29/2015-08/30/2015
The Peavey,"$156,000","$80,000","$120,000",Signed Lower Left,"21.50"" x 29.75""",not given,Watercolor / Paper,1395,Northeast Auctions,08/14/2015-08/16/2015
LEDGE GATE,-not sold-,"$121,500","$162,000",Signed Lower Right,"21.26"" x 29.80""",not given,Watercolor / Paper,313,Mainichi Auction Inc.,07/04/2015
Study for Sea-Through,"$12,150","$12,150","$16,200",Signed,"7.95"" x 14.96""",not given,Watercolor / Paper,314,Mainichi Auction Inc.,07/04/2015
Ice Storm,"$989,000","$600,000","$800,000",Signed,"28.75"" x 22.75""",1971,Watercolor and gouache  with drybush / Paper,52,"Christie's New York, Rockefeller Center",05/21/2015
IN THE ORCHARD (HELGA IN ORCHARD),"$490,000","$500,000","$700,000",Signed Lower Right,"27.75"" x 22.00""",1972,Watercolor and pencil / Paper,60,Sotheby's New York,05/20/2015
Study of the Olson House,"$8,750","$12,000","$18,000",Inscribed and Signed,"15.38"" x 21.19""",not given,Pencil / Paper,89,Doyle New York,05/05/2015
Winter Beech Leaves 1956,"$10,200","$10,000","$15,000",Signed and Titled,"16.75"" x 23.50""",1956,graphite / Paper,115,Shannon's Fine Art Auctioneers,04/23/2015
Birchwood,-not sold-,"$40,000","$60,000",unknown,"14.00"" x 20.00""",1948,Watercolor / Paper on board,110,"Christie's New York, Rockefeller Center",03/25/2015
LEDGE GATE,-not sold-,"$173,400","$224,400",Signed,"21.26"" x 29.80""",not given,Watercolor / Paper,880,Mainichi Auction Inc.,02/07/2015
TREASURE ISLAND,"$40,630","$20,000","$30,000",Signed Lower Left,"9.02"" x 5.98""",not given,Watercolor / Paper,71,Freeman's,12/07/2014
"""Grey Light""","$40,000","$40,000","$80,000",Signed Lower Right,"16.25"" x 28.75""",not given,Watercolor / Paper,991,Leland Little Auction & Estate Sales,12/04/2014-12/06/2014
Winter Carnival,"$425,000","$300,000","$500,000",Signed Lower Right,"22.25"" x 24.00""",not given,Watercolor and gouache  with pencil / Paper,116,"Christie's New York, Rockefeller Center",11/19/2014
"Hill Drifts, 1971","$81,250","$80,000","$120,000",Signed,"21.50"" x 29.75""",not given,Watercolor / Paper,120,Rago Arts and Auction Center,11/15/2014
FALL GRASSES,"$53,130","$40,000","$60,000",Signed and Titled,"20.00"" x 28.00""",1955,Watercolor  with scratching out / Paper on board,80,Sotheby's New York,10/02/2014
BARN LAMP,"$53,130","$40,000","$60,000",Signed Lower Left,"12.50"" x 16.50""",1955,Watercolor  with scratching out / Paper on board,81,Sotheby's New York,10/02/2014
LOW TIDE,"$59,380","$30,000","$50,000",Signed and Titled,"18.00"" x 22.00""",1938,Watercolor / Paper,85,Sotheby's New York,10/02/2014
DENTZEL,"$81,250","$30,000","$40,000",Inscribed and Signed,"11.00"" x 13.75""",2001,Watercolor  with traces of pencil / Paper,90,Sotheby's New York,10/02/2014
Portrait of Alfred Porter.,"$22,500","$15,000","$20,000",Signed,"11.00"" x 14.00""",1973,Pencil / Paper,196,Swann Galleries,06/12/2014
GRIST MILL,"$182,500","$150,000","$250,000",Signed Lower Left,"20.00"" x 28.11""",not given,Watercolor / Paper,100,Freeman's,06/08/2014
ROBIN MCCOY NEILDS,"$12,500","$12,000","$18,000",Signed Lower Right,"8.50"" x 8.86""",not given,Pencil / Paper,101,Freeman's,06/08/2014
"""KUERNER'S HOUSE""",-not sold-,"$8,000","$12,000",Signed,"7.01"" x 10.24""",not given,Watercolor / Paper,102,Freeman's,06/08/2014
ROBIN MCCOY ON A BLANKET With; FIGURES AND DOG verso,"$5,000","$5,000","$8,000",unknown,"17.01"" x 14.02""",not given,Ink  and pencil / Paper,103,Freeman's,06/08/2014
My Mother's Birthplace,-not sold-,"$2,000,000","$3,000,000",Signed Lower Left,"20.00"" x 36.00""",1943,Tempera / Panel,37,"Christie's New York, Rockefeller Center",05/22/2014
Hand Lines Study,"$62,500","$50,000","$70,000",Signed,"12.00"" x 18.00""",1997,Watercolor and pencil / Paper,112,"Christie's New York, Rockefeller Center",05/22/2014
Stable Door,-not sold-,"$120,000","$180,000",Signed Lower Left,"21.50"" x 29.50""",1961,Watercolor and gouache  with pencil / Paper,113,"Christie's New York, Rockefeller Center",05/22/2014
Over The Hill,-not sold-,"$80,000","$120,000",Signed Lower Left,"20.00"" x 28.00""",1953,Watercolor / Paper,115,"Christie's New York, Rockefeller Center",05/22/2014
Picking Apples,"$112,500","$80,000","$120,000",Signed Lower Right,"21.00"" x 29.75""",1945,Watercolor  and charcoal / Paper on board,160,"Christie's New York, Rockefeller Center",05/22/2014
THE OBSERVATORY,"$221,000","$120,000","$180,000",Signed,"30.00"" x 22.00""",1978,Watercolor and pencil / Paper,13,Sotheby's New York,05/21/2014
FRENCH CONNECTION,-not sold-,"$400,000","$600,000",unknown,"27.25"" x 20.50""",1980,Watercolor and pencil / Paper,52,Sotheby's New York,05/21/2014
Wash Bucket,-not sold-,"$120,000","$180,000",Signed Lower Left,"21.75"" x 29.13""",1962,Watercolor / Paper,70145,Inquire about post-auction sale,05/10/2014
Study for 'Buzz Saw' ('Doug Young's Hook') AND another drawing (on the reverse),"$7,650","$10,200","$15,300",Signed and Titled,"11.61"" x 17.09""",not given,Watercolor and pencil / Paper,360,Mallet Auction Japan,04/18/2014
Study for 'Sea-Through',"$10,710","$20,400","$30,600",Signed,"7.60"" x 14.41""",1977,Watercolor / Paper,361,Mallet Auction Japan,04/18/2014
ALONG THE TAIL RACE,"$62,500","$50,000","$70,000",Signed,"29.88"" x 21.38""",1959,Watercolor / Paper,107,Sotheby's New York,04/16/2014
IN THE BOAT,"$56,250","$12,000","$18,000",Signed Lower Left,"21.88"" x 29.88""",1935,Watercolor and pencil / Paper,108,Sotheby's New York,04/16/2014
MAN AND DORY,"$36,250","$15,000","$25,000",Signed Lower Left,"22.00"" x 30.25""",not given,Watercolor and pencil / Paper,109,Sotheby's New York,04/16/2014
WINDMILL,"$22,500","$12,000","$18,000",Signed Initials,"21.75"" x 29.88""",1936,Watercolor and pencil / Paper,110,Sotheby's New York,04/16/2014
TENDING TO THE VEGETABLE GARDEN,"$13,750","$7,000","$10,000",Signed Lower Right,"15.00"" x 21.00""",not given,Watercolor and pencil / Paper,111,Sotheby's New York,04/16/2014
BEECH TREE,"$20,000","$7,000","$10,000",unknown,"22.50"" x 30.00""",1934,Watercolor and pencil / Paper,112,Sotheby's New York,04/16/2014
CHADD'S FORD LANDSCAPE,"$21,250","$7,000","$10,000",Signed Lower Right,"15.00"" x 21.00""",1934,Watercolor / Paper,113,Sotheby's New York,04/16/2014
ALLEN (OODIE) LYNCH,"$8,130","$4,000","$6,000",unknown,"17.75"" x 23.63""",1944,Pencil / Paper,114,Sotheby's New York,04/16/2014
Fishermen in Dory,"$62,500","$25,000","$35,000",Signed and Dated,"21.00"" x 29.75""",1936,Watercolor and pencil / Paper on board,92,"Christie's New York, Rockefeller Center",02/26/2014
PORTRAIT OF GRANNY,"$4,613","$2,000","$3,000",Signed and Dated,"6.50"" x 5.00""",1932,Pencil / Paper,390,Grogan & Company,02/23/2014
Letter with Drawing,"$6,000",n/a,n/a,Signed and Dated,"14.00"" x 9.00""",1984,Pencil / Paper,86,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
Disk Harrow,-not sold-,"$300,000","$500,000",Signed Lower Left,"17.50"" x 43.00""",1996,Watercolor and pencil / Paper,109,"Christie's New York, Rockefeller Center",12/05/2013
Pumpkin Hill,"$125,000","$100,000","$150,000",Signed Lower Left,"21.50"" x 30.00""",1977,Watercolor  and drybrush / Paper on board,110,"Christie's New York, Rockefeller Center",12/05/2013
After Lunch,"$100,000","$80,000","$120,000",Signed Lower Right,"21.00"" x 28.50""",c.1991,Watercolor  with drybrush and pencil / Paper,111,"Christie's New York, Rockefeller Center",12/05/2013
Nude: A Double-Sided Work,-not sold-,"$40,000","$60,000",Signed Lower Left,"23.00"" x 29.00""",1973,Pencil / Paper,112,"Christie's New York, Rockefeller Center",12/05/2013
"""The British at Brinton's Mill, Sept. 12, 1777","$3,200",n/a,n/a,Signed Lower Right,"13.00"" x 16.50""",not given,Watercolor and ink / Paper,255,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
Sketch,"$3,200",n/a,n/a,unknown,"7.50"" x 4.75""",not given,Pencil / Paper,256,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
"Study for ""In the Doorway""","$2,200",n/a,n/a,Signed Initials,"15.75"" x 11.75""",not given,Pencil / Paper,258,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
"""Angier Sailboat Under Sail""","$4,200",n/a,n/a,Signed Monogram,"7.50"" x 10.75""",not given,Pen and ink / Paper,358,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
"""The Fairbanks Album""","$2,600",n/a,n/a,Signed,"11.50"" x 8.25""",not given,Watercolor / Paper,359,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
Letter & Drawing,"$3,400",n/a,n/a,unknown,"14.00"" x 10.75""",1986,Pencil / Paper,360,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
"Rare ""Helga"" Sketch","$2,500",n/a,n/a,Inscribed,"6.00"" x 8.50""",1987,Pencil / Paper,361,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
"""Christina's World""","$2,500",n/a,n/a,Signed,"9.50"" x 12.50""",not given,Ink / Paper,362,Leland Little Auction & Estate Sales,12/05/2013-12/07/2013
DRY WELL (RAIN BARREL),"$341,000","$300,000","$500,000",Signed Lower Right,"20.75"" x 29.75""",1958,Watercolor / Paper,11,Sotheby's New York,12/04/2013
Field Sparrow,-not sold-,"$120,000","$180,000",Signed Lower Left,"19.00"" x 28.00""",1968,Watercolor and gouache  with pencil / Paper,20,Sotheby's New York,12/04/2013
CHRISTINA'S TEAPOT,"$221,000","$200,000","$300,000",Signed,"22.75"" x 28.75""",1968,Watercolor and pencil / Paper,21,Sotheby's New York,12/04/2013
COSMOS,"$173,000","$70,000","$100,000",Signed Lower Left,"22.75"" x 30.75""",not given,Watercolor and pencil / Paper,59,Sotheby's New York,12/04/2013
A Christmas Card (Branches in Winter),"$8,750","$6,000","$8,000",Inscribed,"3.38"" x 5.25""",not given,Watercolor / Paper,215,Doyle New York,11/05/2013
Christmas Card (People Walking in the Snow),"$11,880","$7,000","$9,000",Inscribed,"3.38"" x 5.25""",not given,Watercolor / Paper,216,Doyle New York,11/05/2013
"From Stone Island, 1938","$57,500","$70,000","$90,000",Signed Lower Right,"17.75"" x 21.50""",1938,Watercolor / Paper,149,Barridoff Galleries,10/23/2013
"""LOBSTERMAN (WALT ANDERSON)"" AND ""TWO FIGURES IN A DORY"":  A DOUBLE-SIDED WATERCOLOR","$197,000","$35,000","$45,000",unknown,Dimensions not available,not given,Watercolor and pencil / Paper,123,Sotheby's New York,10/03/2013
CARRYING CORN,"$25,000","$25,000","$35,000",Signed Initials,"22.00"" x 30.00""",1933,Watercolor and pencil / Paper,124,Sotheby's New York,10/03/2013
CHOPPING WOOD,-not sold-,"$25,000","$35,000",Signed and Dated,"22.00"" x 29.75""",1936,Watercolor and pencil / Paper,125,Sotheby's New York,10/03/2013
"PYLE'S BARN, STUDY FOR RED BARN","$31,250","$25,000","$35,000",Signed Initials,"22.00"" x 30.00""",1935,Watercolor and pencil / Paper,126,Sotheby's New York,10/03/2013
CHARLIE ERVINE IN THE DOORWAY,-not sold-,"$25,000","$35,000",Unavailable,"22.50"" x 30.00""",1937,Watercolor and pencil / Paper,127,Sotheby's New York,10/03/2013
POLLY (SAILBOAT WITH FIGURES),"$25,000","$20,000","$30,000",Unavailable,"22.00"" x 30.38""",1935,Watercolor and pencil / Paper,128,Sotheby's New York,10/03/2013
CHADD'S FORD LANDSCAPE (ADAM JOHNSON'S HOUSE),"$40,630","$12,000","$16,000",Unavailable,"14.50"" x 20.75""",1935,Watercolor and pencil / Paper,129,Sotheby's New York,10/03/2013
PENNSYLVANIA LANDSCAPE (FROM THE STUDIO),"$12,500","$12,000","$16,000",Signed and Dated,"15.00"" x 21.00""",1937,Watercolor / Paper,130,Sotheby's New York,10/03/2013
BLACK MAN SEATED,"$12,500","$10,000","$15,000",Inscribed and Signed,"18.50"" x 24.00""",1934,Watercolor and pencil / Paper,131,Sotheby's New York,10/03/2013
Back Shore,-not sold-,"$50,500","$60,600",Signed Lower Right,"11.77"" x 15.98""",1939,Watercolor and pencil / Paper,330,Mallet Auction Japan,07/12/2013
In the Georges Islands,"$52,500","$40,000","$60,000",Signed and Dated,"14.63"" x 29.00""",1940,Ink / Paper,700,Thomaston Place Auction Galleries,06/01/2013-06/02/2013
Flat Boat,"$423,750","$250,000","$350,000",unknown,"22.25"" x 29.25""",1988,Watercolor and pencil  with drybrush / Paper,77,"Christie's New York, Rockefeller Center",05/23/2013
Heat Lightning,-not sold-,"$2,000,000","$3,000,000",Signed Lower Left,"21.50"" x 30.75""",1977,Tempera / Panel,81,"Christie's New York, Rockefeller Center",05/23/2013
Winfields,-not sold-,"$400,000","$600,000",Signed Lower Right,"21.50"" x 30.00""",not given,Watercolor / Paper,84,"Christie's New York, Rockefeller Center",05/23/2013
"Study for ""Barracoon""","$231,750","$120,000","$180,000",unknown,"18.00"" x 23.75""",1976,Pencil / Paper,85,"Christie's New York, Rockefeller Center",05/23/2013
Chain Hoist,"$339,750","$200,000","$300,000",Signed Lower Right,"19.00"" x 27.75""",1965,Watercolor and gouache  with pencil / Paper,86,"Christie's New York, Rockefeller Center",05/23/2013
Rocky Hill,-not sold-,"$1,800,000","$2,400,000",Signed Lower Right,"30.00"" x 21.50""",1977,Watercolor  and drybrush / Paper,87,"Christie's New York, Rockefeller Center",05/23/2013
ELSIE'S HOUSE,"$245,000","$120,000","$180,000",Inscribed and Signed,"20.00"" x 28.00""",1983,Watercolor and pencil / Paper,2,Sotheby's New York,05/22/2013
"Picking Apples, 1945",-not sold-,"$80,000","$120,000",Signed Lower Right,"20.75"" x 28.75""",not given,Watercolor / Paper,59,Shannon's Fine Art Auctioneers,04/25/2013
WALDBORO WOODS,-not sold-,"$80,000","$120,000",Inscribed and Signed,"21.50"" x 29.50""",not given,Watercolor and gouache / Paper,22,Sotheby's New York,04/11/2013
"CAPE FORCHU LIGHT STATION, NOVA SCOTIA",-not sold-,"$70,000","$90,000",Signed,"21.50"" x 29.75""",1960,Watercolor / Paper on board,23,Sotheby's New York,04/11/2013
A Letter to Mr. and Mrs. William Cook,"$1,375","$2,000","$3,000",Inscribed and Signed,"19.25"" x 15.25""",1961,Ink / Paper,78357,Heritage Auctions,04/11/2013
Below Decks on the Renown: Sketch on the Flyleaf of C.S. Forester's Lieutenant Hornblower,"$2,000","$2,000","$3,000",Unsigned,"7.75"" x 10.50""",not given,Ink / Paper,78358,Heritage Auctions,04/11/2013
Winter,"$37,450","$32,100","$42,800",Signed Lower Right,"13.86"" x 21.26""",not given,Watercolor / Paper,207,Mainichi Auction Inc.,04/04/2013
Oaks at Chadds Ford Pa,-not sold-,"$21,600","$32,400",Signed,"17.64"" x 21.85""",not given,Ink / Paper,751,Mainichi Auction Inc.,02/16/2013
Barns-Brinton House,"$2,223","$1,500","$2,500",Signed Lower Right,"8.00"" x 4.25""",not given,Pencil / Paper,3049,Alderfer Auction Company,12/13/2012
General Wolfe at Quebec,-not sold-,"$30,000","$50,000",Signed Lower Right,"18.00"" x 12.75""",not given,Watercolor and gouache / Paper,102,"Christie's New York, Rockefeller Center",12/06/2012
Lord Nelson Overseeing the Battle of the Nile,"$21,250","$30,000","$50,000",Signed Lower Right,"12.25"" x 17.75""",not given,Watercolor and gouache / Paper,103,"Christie's New York, Rockefeller Center",12/06/2012
WASH TUB,"$392,500","$120,000","$180,000",Signed Lower Right,"16.50"" x 24.00""",1963,Watercolor / Paper,46,Sotheby's New York,11/29/2012
Little Caldwell's Island,"$722,500","$1,000,000","$1,500,000",Signed Lower Right,"32.00"" x 40.00""",1940,Tempera / Panel,19,Bonhams New York,11/28/2012
Back Entry,"$182,500","$200,000","$300,000",Signed Lower Right,"30.00"" x 22.00""",1971,Watercolor / Paper,22,Bonhams New York,11/28/2012
Officer's Quarters,-not sold-,"$300,000","$500,000",Signed Lower Right,"22.75"" x 28.75""",1980,Watercolor / Paper,113,"Christie's New York, Rockefeller Center",11/28/2012
Trawler Aground,"$134,500","$80,000","$120,000",Signed Lower Right,"21.75"" x 29.75""",1940,Watercolor / Paper,115,"Christie's New York, Rockefeller Center",11/28/2012
Snowy Morning,"$842,500","$250,000","$350,000",Signed Lower Left,"21.75"" x 16.00""",c.1947,Tempera / Panel,116,"Christie's New York, Rockefeller Center",11/28/2012
The Brothers,-not sold-,"$500,000","$700,000",Signed Lower Left,"14.75"" x 23.50""",1961,drybrush / Paper,117,"Christie's New York, Rockefeller Center",11/28/2012
Untitled (German Shepherd),"$16,250","$3,000","$5,000",Signed,"6.88"" x 5.88""",not given,Pencil / Paper,43,Rago Arts and Auction Center,11/17/2012
The Open Window,-not sold-,"$25,000","$35,000",Inscribed and Signed,"3.38"" x 5.50""",not given,Watercolor / Card,118,Swann Galleries,11/15/2012
"The Mill House at Ivy Mills, Pennsylvania.",-not sold-,"$70,000","$100,000",Signed Lower Right,"13.63"" x 19.50""",c.1962,Watercolor / Paper,119,Swann Galleries,11/15/2012
Coastal Survey,"$35,500","$80,000","$120,000",Signed Lower Right,"21.00"" x 29.00""",1955,Watercolor / Paper,73139,Heritage Auctions,11/15/2012
Irises,"$184,000","$150,000","$180,000",Unavailable,"20.00"" x 27.00""",not given,Watercolor / Paper,89,Hilton Head Art Auction (formerly Charleston),10/27/2012
"The Bob, 1944",-not sold-,"$50,000","$75,000",Signed on Reverse,"21.00"" x 29.00""",1944,Watercolor / Paper,165,Barridoff Galleries,10/24/2012
